id;kode_provinsi;nama_provinsi;persentase_penduduk_miskin;tahun
1;11;ACEH;15.32;2019
2;12;SUMATERA UTARA;8.83;2019
3;13;SUMATERA BARAT;6.42;2019
4;14;RIAU;7.08;2019
5;15;JAMBI;7.6;2019
6;16;SUMATERA SELATAN;12.71;2019
7;17;BENGKULU;15.23;2019
8;18;LAMPUNG;12.62;2019
9;19;KEPULAUAN BANGKA BELITUNG;4.62;2019
10;21;KEPULAUAN RIAU;5.9;2019
11;31;DKI JAKARTA;3.47;2019
12;32;JAWA BARAT;6.91;2019
13;33;JAWA TENGAH;10.8;2019
14;34;DI YOGYAKARTA;11.7;2019
15;35;JAWA TIMUR;10.37;2019
16;36;BANTEN;5.09;2019
17;51;BALI;3.79;2019
18;52;NUSA TENGGARA BARAT;14.56;2019
19;53;NUSA TENGGARA TIMUR;21.09;2019
20;61;KALIMANTAN BARAT;7.49;2019
21;62;KALIMANTAN TENGAH;4.98;2019
22;63;KALIMANTAN SELATAN;4.55;2019
23;64;KALIMANTAN TIMUR;5.94;2019
24;65;KALIMANTAN UTARA;6.63;2019
25;71;SULAWESI UTARA;7.66;2019
26;72;SULAWESI TENGAH;13.48;2019
27;73;SULAWESI SELATAN;8.69;2019
28;74;SULAWESI TENGGARA;11.24;2019
29;75;GORONTALO;15.52;2019
30;76;SULAWESI BARAT;11.02;2019
31;81;MALUKU;17.69;2019
32;82;MALUKU UTARA;6.77;2019
33;91;PAPUA BARAT;22.17;2019
34;92;PAPUA BARAT DAYA;0;2019
35;94;PAPUA;27.53;2019
36;95;PAPUA SELATAN;0;2019
37;96;PAPUA TENGAH;0;2019
38;97;PAPUA PEGUNUNGAN;0;2019
39;11;ACEH;14.99;2020
40;12;SUMATERA UTARA;8.75;2020
41;13;SUMATERA BARAT;6.28;2020
42;14;RIAU;6.82;2020
43;15;JAMBI;7.58;2020
44;16;SUMATERA SELATAN;12.66;2020
45;17;BENGKULU;15.03;2020
46;18;LAMPUNG;12.34;2020
47;19;KEPULAUAN BANGKA BELITUNG;4.53;2020
48;21;KEPULAUAN RIAU;5.92;2020
49;31;DKI JAKARTA;4.53;2020
50;32;JAWA BARAT;7.88;2020
51;33;JAWA TENGAH;11.41;2020
52;34;DI YOGYAKARTA;12.28;2020
53;35;JAWA TIMUR;11.09;2020
54;36;BANTEN;5.92;2020
55;51;BALI;3.78;2020
56;52;NUSA TENGGARA BARAT;13.97;2020
57;53;NUSA TENGGARA TIMUR;20.9;2020
58;61;KALIMANTAN BARAT;7.17;2020
59;62;KALIMANTAN TENGAH;4.82;2020
60;63;KALIMANTAN SELATAN;4.38;2020
61;64;KALIMANTAN TIMUR;6.1;2020
